Latitude, Longitude, Altitude
46.637698 48.202234 104.754530
42.216045 52.582046 101.686797
43.543924 55.703742 103.747029
52.802100 58.730199 116.934126
59.086834 50.605532 118.129159
50.813238 54.120591 100.693939
53.526983 60.450318 109.094184
60.436336 64.192719 103.426402
64.220922 73.038768 118.937126
56.727494 59.900474 122.579488
56.458692 73.061378 118.710745
64.205229 70.425900 129.448301
60.221992 79.268336 124.778732
63.026896 81.449652 115.903478
55.511982 78.575797 120.082513
72.429970 73.355634 123.354826
73.174032 84.521218 143.926834
68.937003 74.507431 137.338093
63.914220 84.520757 136.810073
65.326644 85.273787 132.543944
68.831280 78.401301 122.624547
74.428540 82.120381 138.113141
66.468300 96.534454 144.971790
71.528835 85.133470 137.968472
66.967320 90.837119 148.847509
74.568607 95.255835 134.059559
74.013932 88.602489 136.840301
75.078314 96.596079 148.001950
85.644537 102.180025 150.557412
80.161353 92.573005 154.191413
75.082521 109.414171 147.898421
72.138994 102.050110 151.115794
82.751824 98.837631 144.061016
75.777001 103.442041 155.675881
83.560663 108.064875 149.760380
83.882832 104.320957 152.379923
86.448624 112.601662 171.772697
82.949570 116.996017 165.468636
77.032176 117.814752 158.453097
79.603099 113.824032 164.677577
82.128336 110.921854 159.335753
73.628747 122.617683 154.381147
80.071304 121.447266 158.957275
94.155751 116.417071 183.970487
87.091722 118.735804 174.644394
87.277862 130.130139 178.198336
99.799231 134.648741 169.856216
88.633613 135.159315 186.824787
93.878624 123.271152 173.164812
87.835269 134.450470 181.496394
96.923776 136.331854 184.200070
90.888243 131.718447 186.324942
93.982695 140.031352 196.878112
94.703968 135.050783 182.197439
93.444732 143.932831 183.680528
96.926479 144.002872 196.522904
94.471047 143.725646 188.127536
95.838485 143.895862 200.202779
93.371630 152.211075 202.605897
89.650075 152.131294 201.570834
