Latitude, Longitude, Altitude
50.000000 50.000000 108.820262
50.847458 51.694915 103.695701
51.694915 53.389831 108.283520
52.542373 55.084746 116.289212
53.389831 56.779661 116.117451
54.237288 58.474576 103.588187
55.084746 60.169492 114.919934
55.932203 61.864407 111.107621
56.779661 63.559322 113.043228
57.627119 65.254237 117.307230
58.474576 66.949153 117.669370
59.322034 68.644068 125.915435
60.169492 70.338983 124.144172
61.016949 72.033898 122.642273
61.864407 73.728814 125.948130
62.711864 75.423729 127.092100
63.559322 77.118644 134.589039
64.406780 78.813559 127.787768
65.254237 80.508475 132.073813
66.101695 82.203390 127.932911
66.949153 83.898305 121.133356
67.796610 85.593220 138.861313
68.644068 87.288136 141.610317
69.491525 88.983051 135.272226
70.338983 90.677966 152.026739
71.186441 92.372881 135.101053
72.033898 94.067797 144.296589
72.881356 95.762712 144.826793
73.728814 97.457627 155.121523
74.576271 99.152542 156.499336
75.423729 100.847458 151.622195
76.271186 102.542373 154.433185
77.118644 104.237288 149.798359
77.966102 105.932203 146.028221
78.813559 107.627119 155.887558
79.661017 109.322034 160.103779
80.508475 111.016949 167.168403
81.355932 112.711864 168.723764
82.203390 114.406780 162.470146
83.050847 116.101695 164.590181
83.898305 117.796610 162.553845
84.745763 119.491525 162.391436
85.593220 121.186441 162.655090
86.440678 122.881356 182.635233
87.288136 124.576271 172.028010
88.135593 126.271186 174.080815
88.983051 127.966102 171.702125
89.830508 129.661017 183.548469
90.677966 131.355932 173.286443
91.525424 133.050847 181.987146
92.372881 134.745763 180.268430
93.220339 136.440678 188.375190
94.067797 138.135593 185.581568
94.915254 139.830508 183.927348
95.762712 141.525424 191.384513
96.610169 143.220339 195.361998
97.457627 144.915254 195.247840
98.305085 146.610169 198.122529
99.152542 148.305085 195.133474
100.000000 150.000000 198.186294
